Project,Domain,Raw_URL
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/models.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/cookies.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/adapters.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/packages.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/sessions.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/exceptions.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/structures.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/__version__.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/status_codes.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/src/requests/_internal_utils.py
psf/requests,Utilities,https://raw.githubusercontent.com/psf/requests/main/docs/_themes/flask_theme_support.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/docs/conf.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/app.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/cli.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/ctx.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/views.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/config.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/typing.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/globals.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/helpers.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/logging.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/signals.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/__main__.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/json/tag.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/sessions.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/wrappers.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/blueprints.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/sansio/app.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/templating.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/debughelpers.py
pallets/flask,Web Development,https://raw.githubusercontent.com/pallets/flask/main/src/flask/json/provider.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/hacking/report.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/hacking/azp/run.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/packaging/release.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/doc.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/context.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/release.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/hacking/azp/download.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/__main__.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/pull.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/adhoc.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/vault.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/constants.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/hacking/azp/incidental.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/config.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/cli/galaxy.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/galaxy/api.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/utils/fqcn.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/utils/lock.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/utils/path.py
ansible/ansible,DevOps/System,https://raw.githubusercontent.com/ansible/ansible/devel/lib/ansible/utils/vars.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/doc/conf.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/pylab.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/gh_api.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/subset.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/memleak.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/make_icons.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/cm.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/boilerplate.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/doc/sphinxext/util.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/_cm.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/github_stats.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/_afm.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/axis.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/mlab.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/path.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/text.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/tools/autoclose_prs.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/ci/export_sdist_name.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/doc/sphinxext/github.py
matplotlib/matplotlib,Data Visualization,https://raw.githubusercontent.com/matplotlib/matplotlib/main/lib/matplotlib/cbook.py
